,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
43,retinol,2e-05,retinol,HMDB00305,C00473,445354.0,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3",,EX_retinol_m,EX_retinol(e)
44,caro,4.7072620208220006e-05,beta-carotene,HMDB00561,C02094,,,,EX_caro_m,EX_caro(e)
45,phyQ,0.0001822382596505,phylloquinone,HMDB03555,C02059,5280483.0,,,EX_phyQ_m,EX_phyQ(e)
46,core2,1.0,Core 2,,,,,,EX_core2_m,EX_core2(e)
47,core2_rl,1.0,released Core 2,,,,,,EX_core2_rl_m,EX_core2_rl(e)
48,core3,1.0,Core 3,,,,,,EX_core3_m,EX_core3(e)
49,core6,1.0,Core 6,,,,,,EX_core6_m,EX_core6(e)
50,core8,1.0,Core 8,,,,,,EX_core8_m,EX_core8(e)
51,core4,1.0,Core 4,,,,,,EX_core4_m,EX_core4(e)
52,core4_rl,1.0,released Core 4,,,,,,EX_core4_rl_m,EX_core4_rl(e)
53,core5,1.0,Core 5,,,,,,EX_core5_m,EX_core5(e)
54,gncore1,1.0,"GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_m,EX_gncore1(e)
55,gncore1_rl,1.0,"released GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_rl_m,EX_gncore1_rl(e)
56,gncore2,1.0,"GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_m,EX_gncore2(e)
57,gncore2_rl,1.0,"released GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_rl_m,EX_gncore2_rl(e)
58,core7,1.0,Core 7,,,,,,EX_core7_m,EX_core7(e)
59,gchola,1.0,glycocholate,HMDB00138,C01921,10140.0,,,EX_gchola_m,EX_gchola(e)
60,tchola,1.0,taurocholate,HMDB00036,,440567.0,,,EX_tchola_m,EX_tchola(e)
61,o2,0.001,O2,HMDB01377,C00007,977.0,InChI=1S/O2/c1-2,,EX_o2_m,EX_o2(e)
62,12dgr180,4.651502204107144,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
63,alathr,10.000000001,L-alanyl-L-threonine,,,,,,EX_alathr_m,EX_alathr(e)
64,cgly,10.000000001,L-cysteinylglycine,HMDB00078,C01419,439498.0,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,EX_cgly_m,EX_cgly(e)
65,cl,0.006570282982358475,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
